DATE,VALUE
2010-06-02,1.922
2010-06-03,1.969
2010-06-04,1.881
2010-06-07,1.871
2010-06-08,1.877
2010-06-09,1.912
2010-06-10,1.969
2010-06-11,1.951
2010-06-14,1.960
2010-06-15,2.012
2010-06-16,2.037
2010-06-17,2.050
2010-06-18,2.047
2010-06-21,2.028
2010-06-22,2.021
2010-06-23,1.967
2010-06-24,1.983
2010-06-25,2.064
2010-06-28,2.027
2010-06-29,1.957
2010-06-30,1.961
2010-07-01,1.896
2010-07-02,1.894
2010-07-05,.
2010-07-06,1.887
2010-07-07,1.954
2010-07-08,1.982
2010-07-09,1.994
2010-07-12,1.953
2010-07-13,2.003
2010-07-14,1.976
2010-07-15,1.979
2010-07-16,1.960
2010-07-19,1.976
2010-07-20,1.988
2010-07-21,1.971
2010-07-22,2.050
2010-07-23,2.029
2010-07-26,2.007
2010-07-27,1.966
2010-07-28,1.960
2010-07-29,1.994
2010-07-30,2.026
2010-08-02,2.079
2010-08-03,2.094
2010-08-04,2.078
2010-08-05,2.066
2010-08-06,2.038
2010-08-09,2.041
2010-08-10,2.001
2010-08-11,1.902
2010-08-12,1.877
2010-08-13,1.852
2010-08-16,1.839
2010-08-17,1.867
2010-08-18,1.879
2010-08-19,1.846
2010-08-20,1.855
2010-08-23,1.805
2010-08-24,1.789
2010-08-25,1.812
2010-08-26,1.913
2010-08-27,1.970
2010-08-30,1.945
2010-08-31,1.879
2010-09-01,1.891
2010-09-02,1.925
2010-09-03,1.925
2010-09-06,.
2010-09-07,1.951
2010-09-08,1.968
2010-09-09,1.955
2010-09-10,2.026
2010-09-13,2.026
2010-09-14,2.009
2010-09-15,1.978
2010-09-16,1.936
2010-09-17,1.933
2010-09-20,1.962
2010-09-21,1.912
2010-09-22,1.892
2010-09-23,1.899
2010-09-24,1.942
2010-09-27,1.937
2010-09-28,1.920
2010-09-29,1.955
2010-09-30,2.017
2010-10-01,2.081
2010-10-04,2.092
2010-10-05,2.111
2010-10-06,2.140
2010-10-07,2.103
2010-10-08,2.141
2010-10-11,2.150
2010-10-12,2.100
2010-10-13,2.137
2010-10-14,2.102
2010-10-15,2.070
2010-10-18,2.103
2010-10-19,1.995
2010-10-20,2.032
2010-10-21,1.999
2010-10-22,2.029
2010-10-25,2.023
2010-10-26,2.031
2010-10-27,2.027
2010-10-28,2.024
2010-10-29,2.008
2010-11-01,2.030
2010-11-02,2.044
2010-11-03,2.082
2010-11-04,2.125
2010-11-05,2.129
2010-11-08,2.117
2010-11-09,2.150
2010-11-10,2.193
2010-11-11,2.193
2010-11-12,2.142
2010-11-15,2.118
2010-11-16,2.084
2010-11-17,2.082
2010-11-18,2.138
2010-11-19,2.138
2010-11-22,2.087
2010-11-23,2.050
2010-11-24,2.122
2010-11-25,.
2010-11-26,2.116
2010-11-29,2.172
2010-11-30,2.145
2010-12-01,2.259
2010-12-02,2.301
2010-12-03,2.310
2010-12-06,2.289
2010-12-07,2.271
2010-12-08,2.265
2010-12-09,2.296
2010-12-10,2.264
2010-12-13,2.255
2010-12-14,2.248
2010-12-15,2.255
2010-12-16,2.251
2010-12-17,2.270
2010-12-20,2.336
2010-12-21,2.364
2010-12-22,2.400
2010-12-23,2.403
2010-12-24,.
2010-12-27,2.371
2010-12-28,2.354
2010-12-29,2.345
2010-12-30,2.334
2010-12-31,2.387
2011-01-03,2.387
2011-01-04,2.364
2011-01-05,2.403
2011-01-06,2.401
2011-01-07,2.380
2011-01-10,2.404
2011-01-11,2.421
2011-01-12,2.405
2011-01-13,2.394
2011-01-14,2.437
2011-01-17,.
2011-01-18,2.437
2011-01-19,2.445
2011-01-20,2.385
2011-01-21,2.390
2011-01-24,2.379
2011-01-25,2.307
2011-01-26,2.361
2011-01-27,2.316
2011-01-28,2.396
2011-01-31,2.399
2011-02-01,2.423
2011-02-02,2.421
2011-02-03,2.434
2011-02-04,2.378
2011-02-07,2.414
2011-02-08,2.449
2011-02-09,2.481
2011-02-10,2.433
2011-02-11,2.427
2011-02-14,2.470
2011-02-15,2.438
2011-02-16,2.493
2011-02-17,2.538
2011-02-18,2.505
2011-02-21,.
2011-02-22,2.565
2011-02-23,2.708
2011-02-24,2.683
2011-02-25,2.736
2011-02-28,2.713
2011-03-01,2.813
2011-03-02,2.868
2011-03-03,2.861
2011-03-04,2.887
2011-03-07,2.841
2011-03-08,2.780
2011-03-09,2.889
2011-03-10,2.893
2011-03-11,2.855
2011-03-14,2.832
2011-03-15,2.678
2011-03-16,2.716
2011-03-17,2.820
2011-03-18,2.828
2011-03-21,2.861
2011-03-22,2.863
2011-03-23,2.879
2011-03-24,2.922
2011-03-25,2.929
2011-03-28,2.902
2011-03-29,2.923
2011-03-30,2.940
2011-03-31,2.986
2011-04-01,3.040
2011-04-04,3.044
2011-04-05,3.068
2011-04-06,3.067
2011-04-07,3.071
2011-04-08,3.153
2011-04-11,3.076
2011-04-12,3.048
2011-04-13,3.125
2011-04-14,3.115
2011-04-15,3.163
2011-04-18,3.129
2011-04-19,3.099
2011-04-20,3.136
2011-04-21,3.170
2011-04-22,.
2011-04-25,3.163
2011-04-26,3.194
2011-04-27,3.271
2011-04-28,3.265
2011-04-29,3.330
2011-05-02,3.272
2011-05-03,3.248
2011-05-04,3.270
2011-05-05,3.031
2011-05-06,3.090
2011-05-09,3.270
2011-05-10,3.378
2011-05-11,3.163
2011-05-12,3.083
2011-05-13,3.099
2011-05-16,2.942
2011-05-17,2.849
2011-05-18,2.840
2011-05-19,2.793
2011-05-20,2.815
2011-05-23,2.789
2011-05-24,2.850
2011-05-25,2.877
2011-05-26,2.940
2011-05-27,2.982
2011-05-30,.
2011-05-31,2.920
2011-06-01,2.860
2011-06-02,2.849
2011-06-03,2.996
2011-06-06,2.808
2011-06-07,2.840
2011-06-08,2.826
2011-06-09,2.898
2011-06-10,2.872
2011-06-13,2.855
2011-06-14,2.881
2011-06-15,2.769
2011-06-16,2.782
2011-06-17,2.757
2011-06-20,2.699
2011-06-21,2.660
2011-06-22,2.753
2011-06-23,2.653
